                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.8701,                 5.6295,                0.42584,                 3.5191,                 2.1244,                0.27344,                0.53435,                0.40107,                0.19277,                0.12891,                0.25191,                  0.123,                0.02874,                 1.9496,                 4.9776,                0.23146,                  4.193,                 2.3441,               0.001505,               0.001505,               0.001505
                     77,                 1.9182,                 5.2547,                0.41208,                  3.461,                 2.1442,                0.04748,                0.89313,                0.39561,                0.16908,                0.03206,                0.60305,                0.11836,                0.02594,                 1.9134,                 4.6728,                0.19271,                 2.9286,                 2.3601,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.9317,                 5.4271,                0.46158,                 3.5532,                 2.1354,                0.06803,                0.76336,                0.26484,                0.10634,                0.03946,                0.44275,                0.07052,                0.01196,                 2.0919,                 4.9496,                0.23691,                 3.5756,                 2.4991,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.8782,                 5.1147,                 0.4063,                   3.39,                 2.1433,                0.04227,                0.82443,                0.24274,                0.08896,                0.02427,                0.47328,                0.05024,                0.00962,                 2.0459,                 5.0598,                0.23477,                 3.2465,                 2.4602,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.7901,                 4.7671,                0.40335,                 3.4978,                 2.0345,                0.07923,                0.72519,                 0.2969,                0.13435,                0.04587,                0.41985,                0.16262,                 0.0426,                  2.048,                 5.1607,                0.25994,                 3.5844,                 2.4724,              0.0014786,              0.0014786,              0.0014786
                     81,                  1.856,                 5.3241,                0.41586,                 3.3005,                 2.1299,                 0.0654,                0.76336,                0.33948,                 0.1383,                0.03336,                0.38931,                0.13972,                0.02595,                 1.9511,                 4.9713,                0.21011,                 3.5697,                 2.4115,               0.001472,               0.001472,               0.001472
                     82,                 1.8624,                  4.988,                 0.4167,                  3.317,                 2.0549,                0.09731,                0.71756,                0.40142,                0.17062,                0.05694,                0.41985,                 0.1646,                0.04001,                  2.006,                 4.8086,                0.20421,                 3.4711,                 2.4354,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.8655,                 5.1418,                0.42148,                 3.4737,                 2.1238,                0.07413,                0.79389,                0.37091,                0.16468,                0.04562,                0.48855,                0.18237,                0.04572,                 1.9601,                 4.8551,                0.21193,                 3.3824,                 2.4419,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.9238,                  5.161,                0.41364,                 3.5413,                 2.1503,                0.05619,                0.78626,                0.36548,                0.16165,                0.03001,                0.41985,                0.11073,                0.03119,                 1.9742,                  4.819,                0.19374,                 3.3121,                 2.4365,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.7993,                 5.1532,                0.40973,                  3.446,                 2.0718,                0.06384,                0.79389,                0.33633,                0.13906,                0.03929,                0.48855,                0.13761,                0.02883,                 1.9864,                 4.8765,                0.20876,                 3.2751,                 2.3696,              0.0014456,              0.0014456,              0.0014456
